Proband;Condition;Correct Places;Wrong Places ;Start;End
14;EigeneAnwendung - Ingolstadt - A;;0;;
14;OSM - Ingolstadt - A;;0;;
14;EigeneAnwendung - Ingolstadt - B;;0;;
14;EigeneAnwendung - Erlangen - A;;0;;
14;OSM - Ingolstadt - B;;0;;
14;OSM - Erlangen - B;;0;;
15;OSM - Erlangen - A;;0;;
15;OSM - Ingolstadt - A;;0;;
15;EigeneAnwendung - Erlangen - B;;0;;
15;EigeneAnwendung - Erlangen - A;;0;;
15;EigeneAnwendung - Ingolstadt - A;;0;;
15;OSM - Erlangen - B;;0;;
15;EigeneAnwendung - Ingolstadt - B;;0;;
15;OSM - Ingolstadt - B;;0;;
16;OSM - Ingolstadt - A;;0;;
16;EigeneAnwendung - Erlangen - A;;0;;
16;OSM - Erlangen - A;;0;;
16;OSM - Erlangen - B;;0;;
16;EigeneAnwendung - Erlangen - B;;0;;
16;OSM - Ingolstadt - B;;0;;
16;EigeneAnwendung - Ingolstadt - A;;0;;
16;EigeneAnwendung - Ingolstadt - B;;0;;
