Proband;Besser zurechtgekommen;Zufriedenheit;Intuitivität;Heatmap / Maskierung;Entscheidung insgesamt
P1;Haus am See;Haus am see;Haus am See;-;Haus am See
P2;Haus am See;Haus am See;Haus am See;-;Haus am See
